filenames,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,labels
image_5.png,0.12019362,0.21740338,-0.26089427,0.32014602,-0.041164495,-0.16266121,-0.0504912,0.14814888,0.13554825,-0.13530892,-0.18749538,0.3600065,-0.09043209,0.1800997,0.18542847,-0.20055604,0.2755329,0.21158788,0.3893065,-0.32587406,-0.15275936,-0.15392098,0.34163266,0.2066465,0.16474794,-0.25900826,0.59343815,0.13591969,-0.09729675,-0.33797762,0.061407503,0.025010874,0
image_4.png,0.07769074,0.061840285,-0.1658561,0.3456606,-0.13447219,0.073905654,-0.28584784,0.07404844,0.025529336,-0.0032141753,-0.03767561,0.22623695,-0.16446045,0.16561389,0.2758686,-0.53697795,0.26323298,0.27430442,0.30887237,-0.20789051,0.00880423,-0.034569535,0.33561966,0.1692693,-0.2434914,-0.12477476,0.39555153,0.19272396,-0.10351301,-0.11104023,0.23378652,0.21533024,0
image_7.png,-0.14515413,0.075226314,-0.13286169,0.50120986,0.17394647,-0.105210945,-0.09304231,0.3208528,0.09164778,0.02424547,-0.007695153,0.22019245,-0.2673326,0.11417763,0.3330741,-0.28108236,0.15054856,0.42376217,0.5753706,-0.50617033,-0.38690776,-0.0018305894,0.42781803,0.098592855,0.204154,-0.1127804,0.45333806,0.2027754,-0.40613058,-0.024303727,-0.06742699,-0.059534244,0
image_0.png,0.11332152,0.19614436,-0.20140983,0.15654762,-0.16950572,-0.19823074,-0.22076191,0.15538529,0.18610632,-0.1808426,-0.44848207,0.35949114,-0.0073269284,0.2213387,0.31701738,-0.35309392,0.3412972,0.2554616,0.1329997,-0.21841499,-0.28139645,-0.24132383,0.3146267,0.4151608,0.16724272,-0.10487523,0.6838969,0.012438254,-0.047875892,-0.4293048,0.18137892,-0.086327106,0
image_8.png,0.18528199,0.26523083,-0.40749383,0.31277317,-0.16164562,-0.14648052,-0.080706485,0.029823048,0.13534312,-0.12776329,-0.2741701,0.15541454,0.007539154,-0.015705613,0.19508007,-0.39680484,0.36328912,0.094341084,0.17370847,-0.19796945,-0.1673885,-0.044144128,0.32287845,0.29697463,-0.008639013,-0.14268997,0.7213109,0.21574521,0.048566166,-0.3285349,0.103749305,0.16868953,0
image_2.png,0.13506031,0.1540676,-0.41632056,0.21875772,-0.12696387,-0.12677966,-0.18840095,0.16907947,0.044702034,-0.0789121,-0.32258728,0.24763882,-0.13841604,0.10782531,0.23026225,-0.44524297,0.34035817,0.28233072,0.16235918,-0.1843262,-0.1241671,-0.08180967,0.30108413,0.37627226,-0.08477584,-0.21177198,0.7009282,0.17908396,-0.033948436,-0.36484185,0.29071048,0.25670734,0
image_3.png,0.16077694,0.11566623,-0.48474726,0.50186837,-0.13361487,-0.002042589,-0.048396353,0.093894534,0.14256154,-0.132687,-0.53529185,-0.057454523,0.110087976,0.0010080455,0.14483175,-0.56037974,0.404229,0.14214262,0.010282153,-0.23166685,0.018514745,0.30530438,0.20776084,0.40725824,-0.16342455,-0.16491999,0.8271317,0.17361349,0.105315745,0.0072305966,0.39037657,0.20299634,0
image_6.png,-0.1510615,-0.01685877,-0.15965699,0.659544,0.20685527,-0.13418205,-0.2153389,0.26379666,0.050097235,0.16992131,0.0136382,0.23751993,-0.17566004,0.090635486,0.3692363,-0.3846748,0.11201448,0.4003074,0.39323884,-0.56061566,-0.43149287,0.38759392,0.45714933,0.18387687,0.12005701,-0.16427144,0.52292776,0.3658093,-0.42798352,0.016490327,-0.013133736,0.103007235,0
image_1.png,0.20910226,0.21898343,-0.41154724,0.4002099,-0.30298093,-0.06903646,-0.06300639,0.10365513,0.13349786,-0.2565117,-0.5096525,0.07413804,0.04536942,0.09004432,0.15851,-0.48485577,0.42799938,0.049535792,0.08585247,-0.23672803,-0.06603675,0.06329171,0.19519207,0.379194,-0.063100904,-0.111065954,0.8417847,0.121504955,0.13977323,-0.2883883,0.25287488,0.14726242,0
image_10.png,0.030038366,0.0545089,-0.1659147,0.1664001,-0.1059355,-0.049033254,-0.23783077,0.02080943,0.01993921,0.04839704,-0.03573563,0.11908768,-0.10113446,0.04073535,0.23267391,-0.40468365,0.18632089,0.21075779,0.20415382,-0.14385061,-0.07538268,-0.026028361,0.27871782,0.20327444,-0.1399952,-0.108213,0.3521504,0.24533844,-0.068097845,-0.11491007,0.17267023,0.13351908,0
image_9.png,-0.28117588,-0.12077546,-0.09374466,0.7016736,0.4618754,-0.051200755,-0.07139816,0.3075667,0.13735385,0.24805409,0.045437913,0.33287203,-0.19203758,0.20732382,0.4695814,-0.3475507,0.055264764,0.45566928,0.3907161,-0.5075848,-0.6657414,0.38440123,0.5656936,0.016856153,0.34913832,-0.040275596,0.43285573,0.15360966,-0.56711376,0.07156692,-0.057876993,-0.06929226,0
image_12.png,-0.14565478,-0.099122375,-0.035802346,0.727912,0.17148282,0.09336488,-0.36328205,0.32721245,0.17764097,0.24899417,-0.12673339,0.28166702,-0.10016657,0.14996685,0.4380788,-0.5349054,0.09146635,0.52425754,0.33787233,-0.6269846,-0.6053204,0.39745694,0.53572285,0.34361663,0.12377006,0.00631543,0.4913843,0.2791155,-0.4698577,-0.029757803,0.16883332,0.008140135,0
image_11.png,-0.12958112,-0.15049236,-0.07937081,0.7332298,0.24308874,-0.0046689375,-0.2613835,0.32747084,0.08276676,0.22266798,0.09631772,0.06400241,-0.035196383,0.15507998,0.23011982,-0.4401029,0.09294153,0.4146744,0.3856531,-0.5122211,-0.3394057,0.44973296,0.36792025,0.094992496,-0.051252834,-0.14134389,0.3798057,0.32883897,-0.35708937,0.08922401,-0.087776266,0.16574688,0
image_13.png,0.5918051,0.48704737,-0.7470598,0.32271683,-0.42330763,-0.018997716,0.28563768,-0.0002826228,0.32241347,-0.31061223,-0.73142093,0.1980978,0.173982,-0.14980686,-0.104152665,-0.2540034,0.5708627,0.11093941,0.18093698,0.0038802277,-0.103091486,-0.2663366,0.35628936,0.47194594,0.07674285,0.05381501,0.9013885,-0.09022728,0.4151706,-0.54428035,0.27611685,0.06941147,0
image_14.png,0.07836246,0.12814014,-0.18827248,0.21266359,-0.19084834,-0.09489268,-0.34515822,0.11749923,-0.061285615,-0.12365763,-0.041680705,0.17453781,-0.21153153,0.21081883,0.23858748,-0.48359165,0.35189015,0.20872596,0.24882938,-0.13112526,0.10839315,-0.145772,0.3029664,0.17677157,-0.3107375,-0.18001169,0.50704443,0.21169163,-0.1083466,-0.12553671,0.2464717,0.31415197,0
image_15.png,-0.19615705,0.052345432,-0.1434418,0.4712503,0.2223935,-0.009548797,-0.08207413,0.15041123,0.025481168,0.115574285,0.19467823,0.36195466,-0.20609984,0.15793318,0.46104774,-0.3234106,0.023155704,0.38906506,0.63003933,-0.43796712,-0.27433354,-4.7395482e-05,0.49042258,-0.013755353,0.19507225,-0.1555601,0.2865596,0.22277266,-0.33176243,-0.0756322,-0.04328108,-0.043208174,0
image_16.png,0.28026357,0.22699508,-0.37853804,0.08262167,-0.28556368,-0.07397973,-0.07978043,0.12456145,0.17738712,-0.14193664,-0.4822662,0.24767222,0.037194684,0.039354958,0.06518226,-0.22441705,0.31334326,0.21442144,0.18177179,-0.1189909,-0.20859538,-0.3198335,0.30308878,0.49489197,0.07186427,-0.04726568,0.65139484,0.033759017,0.10006533,-0.5432211,0.31759527,0.04535245,0
